2017,김민성,넥센,133,530,472,133,15,59,78,43,93,0,0.317,0.282,0.345,0.436,0.781,0.336,1.75
2017,박경수,kt,131,511,442,116,15,62,66,57,118,1,0.324,0.262,0.352,0.43,0.782,0.337,1.64
2017,박석민,NC,101,382,319,78,14,43,56,50,92,1,0.3,0.245,0.369,0.423,0.792,0.35,1.62
2017,오지환,LG,107,390,334,91,8,47,39,45,105,10,0.367,0.272,0.362,0.407,0.769,0.336,1.57
2017,모창민,NC,136,527,474,148,17,64,90,39,81,9,0.34,0.312,0.361,0.485,0.846,0.357,1.55
2017,유한준,kt,133,497,445,136,13,52,68,45,59,0,0.327,0.306,0.37,0.436,0.806,0.35,1.49
2017,정의윤,SK,112,381,349,112,15,44,45,19,61,0,0.35,0.321,0.367,0.496,0.863,0.368,1.45
2017,이종욱,NC,107,355,318,98,5,52,34,28,30,9,0.326,0.308,0.371,0.403,0.774,0.344,1.45
2017,조동찬,삼성,122,393,353,102,10,35,46,22,72,3,0.335,0.289,0.344,0.439,0.783,0.34,1.37
2017,하주석,한화,111,470,432,123,11,69,52,23,83,7,0.33,0.285,0.328,0.44,0.768,0.328,1.32
2017,고종욱,넥센,123,453,426,133,8,70,54,22,92,16,0.381,0.312,0.349,0.462,0.811,0.345,1.27
2017,정성훈,LG,115,321,276,86,6,32,30,36,49,4,0.359,0.312,0.4,0.428,0.828,0.366,1.25
2017,이승엽,삼성,135,533,472,132,24,65,87,47,85,1,0.292,0.28,0.348,0.517,0.865,0.356,1.25
2017,장영석,넥센,60,212,186,50,12,30,38,17,50,0,0.306,0.269,0.358,0.538,0.896,0.377,1.25
2017,이원석,삼성,121,459,411,109,18,55,62,34,80,2,0.285,0.265,0.323,0.45,0.773,0.326,1.17
2017,오정복,kt,81,213,195,69,2,24,16,9,24,0,0.394,0.354,0.395,0.451,0.846,0.374,1.16
2017,백창수,LG,52,122,101,33,4,15,18,12,18,1,0.358,0.327,0.412,0.535,0.947,0.404,1.14
2017,박세혁,두산,97,237,201,57,5,41,26,19,44,2,0.333,0.284,0.354,0.398,0.752,0.332,1.1
2017,박동원,넥센,103,284,256,69,11,33,39,17,56,2,0.305,0.27,0.321,0.434,0.755,0.323,1.1
