선수 연봉,,,,
선수,연도,팀,연봉(만원),WAR
카스티요,2016,한화,"200,000",0.708
헥터,2016,KIA,"170,000",6.644
로저스,2016,한화,"170,000",0.726
김태균,2016,한화,"160,000",5.205
테임즈,2016,NC,"125,000",5.677
윤석민,2016,KIA,"125,000",0.877
니퍼트,2016,두산,"120,000",5.969
맥그레거,2016,넥센,"120,000",1.356
정우람,2016,한화,"120,000",3.259
린드블럼,2016,롯데,"120,000",2.69
최정,2016,SK,"100,000",5.495
강민호,2016,롯데,"100,000",5.024
로사리오,2016,한화,"100,000",2.893
장원준,2016,두산,"100,000",5.669
이승엽,2016,삼성,"100,000",2.664
필,2016,KIA,"90,000",2.434
김광현,2016,SK,"85,000",3.688
발디리스,2016,삼성,"80,000",0.554
박용택,2016,LG,"80,000",3.195
이병규,2016,LG,"80,000",0.05
이병규9,2016,LG,"80,000",
윤성환,2016,삼성,"80,000",4.127
아두치,2016,롯데,"78,000",1.34
안지만,2016,,"75,000",
이호준,2016,NC,"75,000",1.709
마르테,2016,kt,"75,000",2.688
박석민,2016,NC,"75,000",3.854
켈리,2016,SK,"75,000",5.945
양현종,2016,KIA,"75,000",5.692
웹스터,2016,삼성,"75,000",0.804
장원삼,2016,삼성,"75,000",-0.5
손승락,2016,롯데,"70,000",1.418
정근우,2016,한화,"70,000",4.317
이용규,2016,한화,"70,000",3.972
지크,2016,KIA,"70,000",1.543
최형우,2016,삼성,"70,000",7.959
밴헤켄,2016,넥센,"65,000",2.672
보우덴,2016,두산,"65,000",4.776
이범호,2016,KIA,"65,000",4.629
고메즈,2016,SK,"65,000",2.287
레일리,2016,롯데,"63,000",3.522
손아섭,2016,롯데,"60,000",5.15
대니돈,2016,넥센,"60,000",3.311
김강민,2016,SK,"60,000",2.476
이진영,2016,kt,"60,000",1.551
유한준,2016,kt,"60,000",3.44
해커,2016,NC,"60,000",4.885
이동현,2016,LG,"60,000",0.451
에반스,2016,두산,"55,000",3.56
허프,2016,LG,"55,000",2.066
오재원,2016,두산,"55,000",1.762
배영수,2016,한화,"55,000",
윤길현,2016,롯데,"50,000",0.097
김주찬,2016,KIA,"50,000",4.271
이택근,2016,넥센,"50,000",1.798
황재균,2016,롯데,"50,000",6.073
스튜어트,2016,NC,"50,000",3.294
이종욱,2016,NC,"50,000",2.272
임창용,2016,KIA,"50,000",0.847
정성훈,2016,LG,"50,000",1.131
정상호,2016,LG,"50,000",-0.332
히메네스,2016,LG,"50,000",5.356
소사,2016,LG,"50,000",2.625
권혁,2016,한화,"45,000",2.787
서캠프,2016,한화,"45,000",-0.06
송은범,2016,한화,"45,000",0.4
박한이,2016,삼성,"45,000",1.479
레온,2016,삼성,"45,000",-0.284
양의지,2016,두산,"42,000",4.874
김재호,2016,두산,"41,000",4.409
조동찬,2016,삼성,"40,000",0.479
코엘로,2016,넥센,"40,000",1.749
정현욱,2016,LG,"40,000",-0.274
박정권,2016,SK,"40,000",1.811
유희관,2016,두산,"40,000",4.135
이현승,2016,두산,"40,000",0.236
최준석,2016,롯데,"40,000",0.731
조인성,2016,한화,"40,000",-1.508
밴와트,2016,kt,"40,000",0.766
홍성흔,2016,두산,"40,000",-0.153
벨레스터,2016,삼성,"40,000",-0.298
마리몬,2016,kt,"40,000",1.059
손시헌,2016,NC,"40,000",3.551
차우찬,2016,삼성,"40,000",3.178
우규민,2016,LG,"40,000",0.76
송승준,2016,롯데,"40,000",-0.768
세든,2016,SK,"40,000",-0.242
피어밴드,2016,kt,"35,000",
민병헌,2016,두산,"35,000",4.038
이대수,2016,SK,"35,000",-0.233
정대현,2016,롯데,"32,000",0.242
김상수,2016,삼성,"31,000",-0.198
이대형,2016,kt,"30,000",0.614
나성범,2016,NC,"30,000",4.857
강영식,2016,롯데,"30,000",0.077
한현희,2016,넥센,"30,000",
봉중근,2016,LG,"30,000",0.343
박정진,2016,한화,"30,000",0.634
채태인,2016,넥센,"30,000",-0.104
조동화,2016,SK,"30,000",-0.537
