선수 연봉,,,,
선수,연도,팀,연봉(만원),WAR
김태균,2013,한화,"150,000",3.684
이승엽,2013,삼성,"80,000",0.371
이택근,2013,넥센,"70,000",3.456
김동주,2013,두산,"70,000",0.388
이병규,2013,LG,"60,000",2.923
이진영,2013,LG,"60,000",2.838
김병현,2013,넥센,"60,000",0.497
강민호,2013,롯데,"55,000",3.092
오승환,2013,삼성,"55,000",2.722
정근우,2013,SK,"55,000",3.203
최정,2013,SK,"52,000",7.112
정대현,2013,롯데,"50,000",1.224
김주찬,2013,KIA,"50,000",1.322
김선우,2013,두산,"50,000",0.168
정성훈,2013,LG,"50,000",4.657
송은범,2013,SK,"48,000",
배영수,2013,삼성,"45,000",2.651
이호준,2013,NC,"45,000",2.404
이범호,2013,KIA,"43,500",3.346
정현욱,2013,LG,"40,000",0.774
홍성흔,2013,두산,"40,000",2.6
장원삼,2013,삼성,"40,000",1.865
조인성,2013,SK,"40,000",0.177
진갑용,2013,삼성,"40,000",1.337
윤석민,2013,KIA,"38,000",2.073
이승호,2013,NC,"35,000",-0.234
박용택,2013,LG,"35,000",4.952
박한이,2013,삼성,"35,000",1.575
정재훈,2013,두산,"35,000",1.243
서재응,2013,KIA,"35,000",0.033
이용규,2013,KIA,"34,000",2.825
김현수,2013,두산,"31,000",3.403
송승준,2013,롯데,"31,000",4.059
강영식,2013,롯데,"30,000",1.021
박경완,2013,SK,"30,000",-0.13
안지만,2013,삼성,"30,000",2.39
윤성환,2013,삼성,"30,000",4.279
송신영,2013,NC,"30,000",
강정호,2013,넥센,"30,000",5.545
박석민,2013,삼성,"28,000",5.849
최형우,2013,삼성,"28,000",4.911
손승락,2013,넥센,"26,000",3.759
이브랜드,2013,한화,"25,000",2.518
김원섭,2013,KIA,"25,000",0.236
김광현,2013,SK,"24,000",1.853
박병호,2013,넥센,"22,000",7.022
권혁,2013,삼성,"22,000",0.533
손아섭,2013,롯데,"21,000",6.037
박정권,2013,SK,"20,500",3.279
임경완,2013,SK,"20,000",0.116
김강민,2013,SK,"20,000",3.347
안치홍,2013,KIA,"20,000",1.614
이혜천,2013,두산,"20,000",-0.202
조성환,2013,롯데,"20,000",0.179
신경현,2013,한화,"20,000",
박진만,2013,SK,"20,000",1.404
이종욱,2013,두산,"19,700",3.923
김사율,2013,롯데,"19,000",0.932
황재균,2013,롯데,"18,000",3.037
권오준,2013,삼성,"18,000",
손시헌,2013,두산,"18,000",1
김선빈,2013,KIA,"18,000",2.276
장성호,2013,롯데,"18,000",0.708
이용찬,2013,두산,"17,700",0.073
유동훈,2013,KIA,"17,500",1.086
김상수,2013,삼성,"17,000",3.062
김상훈,2013,KIA,"17,000",0.212
박희수,2013,SK,"17,000",2.574
노경은,2013,두산,"16,000",3.319
채병용,2013,SK,"16,000",-0.191
김상현,2013,KIA,"16,000",
양의지,2013,두산,"15,500",2.179
이현곤,2013,NC,"15,000",0.273
임재철,2013,두산,"15,000",0.91
신명철,2013,삼성,"15,000",-0.087
최희섭,2013,KIA,"15,000",1.911
이상열,2013,LG,"15,000",0.7
나지완,2013,KIA,"15,000",4.23
전준우,2013,롯데,"15,000",3.308
조동찬,2013,삼성,"15,000",1.146
강봉규,2013,삼성,"15,000",0.016
봉중근,2013,LG,"15,000",3.716
최동수,2013,LG,"15,000",-0.051
강동우,2013,한화,"15,000",-0.089
마일영,2013,한화,"15,000",0.008
최준석,2013,두산,"14,500",1.132
최진행,2013,한화,"14,000",2.757
이대수,2013,한화,"14,000",1.993
김태완,2013,한화,"14,000",0.608
박재상,2013,SK,"14,000",1.059
박정진,2013,한화,"14,000",0.137
윤희상,2013,SK,"13,000",2.92
정상호,2013,SK,"13,000",1.852
차우찬,2013,삼성,"13,000",2.962
오재원,2013,두산,"12,500",2.886
유원상,2013,LG,"12,500",0.49
윤길현,2013,SK,"12,500",0.976
이재영,2013,SK,"12,000",0.13
홍상삼,2013,두산,"11,500",1.902
유한준,2013,넥센,"11,500",1.289
