선수 연봉,,,,
선수,연도,팀,연봉(만원),WAR
이대호,2017,롯데,"250,000",3.71
니퍼트,2017,두산,"210,000",3.429
헥터,2017,KIA,"170,000",5.887
김태균,2017,한화,"160,000",2.48
맨쉽,2017,NC,"160,000",2.416
최형우,2017,KIA,"150,000",6.605
로사리오,2017,한화,"150,000",5.067
양현종,2017,KIA,"150,000",4.631
오간도,2017,한화,"130,000",2.561
윤석민,2017,KIA,"125,000",
최정,2017,SK,"120,000",6.742
정우람,2017,한화,"120,000",2.868
보우덴,2017,두산,"110,000",1.164
러프,2017,삼성,"110,000",3.513
오설리반,2017,넥센,"110,000",-0.569
레나도,2017,삼성,"105,000",-0.78
이승엽,2017,삼성,"100,000",1.179
비야누에바,2017,한화,"100,000",2.368
장원준,2017,두산,"100,000",5.378
강민호,2017,롯데,"100,000",3.363
허프,2017,LG,"100,000",4.939
차우찬,2017,LG,"100,000",4.19
김광현,2017,SK,"90,000",
이용규,2017,한화,"90,000",0.151
밴헤켄,2017,넥센,"90,000",3.332
레일리,2017,롯데,"85,000",5.092
켈리,2017,SK,"85,000",5.087
박용택,2017,LG,"80,000",3.706
스크럭스,2017,NC,"80,000",4.42
윤성환,2017,삼성,"80,000",3.737
버나디나,2017,KIA,"75,000",5.278
장원삼,2017,삼성,"75,000",0.345
이호준,2017,NC,"75,000",0.643
박석민,2017,NC,"75,000",1.687
히메네스,2017,LG,"70,000",1.292
정근우,2017,한화,"70,000",2.895
워스,2017,SK,"70,000",-0.107
우규민,2017,삼성,"70,000",0.211
손승락,2017,롯데,"70,000",4.145
팻딘,2017,KIA,"70,000",3.541
에반스,2017,두산,"68,000",3.435
김재호,2017,두산,"65,000",2.747
로치,2017,kt,"65,000",2.237
이범호,2017,KIA,"65,000",2.559
대니돈,2017,넥센,"65,000",-0.56
손아섭,2017,롯데,"65,000",5.896
다이아몬드,2017,SK,"60,000",2.625
김주찬,2017,KIA,"60,000",2.289
해커,2017,NC,"60,000",4.483
유한준,2017,kt,"60,000",1.816
이동현,2017,LG,"60,000",0.404
번즈,2017,롯데,"60,000",3.365
나지완,2017,KIA,"60,000",3.332
김강민,2017,SK,"60,000",0.089
배영수,2017,한화,"55,000",1.075
민병헌,2017,두산,"55,000",2.929
오재원,2017,두산,"55,000",0.318
이종욱,2017,NC,"50,000",1.584
마켈,2017,롯데,"50,000",
소사,2017,LG,"50,000",4.196
정상호,2017,LG,"50,000",0.326
애디튼,2017,롯데,"50,000",-0.254
윤길현,2017,롯데,"50,000",0.016
유희관,2017,두산,"50,000",2.314
이택근,2017,넥센,"50,000",-0.167
임창용,2017,KIA,"50,000",1.528
양의지,2017,두산,"48,000",3.172
박한이,2017,삼성,"45,000",-0.023
권혁,2017,한화,"45,000",-0.002
송은범,2017,한화,"45,000",-0.054
페트릭,2017,삼성,"45,000",0.328
모넬,2017,kt,"45,000",-0.739
이현승,2017,두산,"40,000",1.452
조인성,2017,,"40,000",
최준석,2017,롯데,"40,000",0.851
이진영,2017,kt,"40,000",-0.118
송승준,2017,롯데,"40,000",2.814
박정권,2017,SK,"40,000",0.793
조동찬,2017,삼성,"40,000",1.278
서건창,2017,넥센,"40,000",3.75
손시헌,2017,NC,"40,000",2.245
김민성,2017,넥센,"37,000",3.04
봉중근,2017,LG,"35,000",
오지환,2017,LG,"35,000",2.771
류제국,2017,LG,"35,000",0.221
피어밴드,2017,kt,"35,000",5.31
이재원,2017,SK,"35,000",0.243
이대수,2017,SK,"35,000",0.33
나성범,2017,NC,"35,000",6.617
박정진,2017,한화,"33,000",0.773
김상수,2017,삼성,"31,000",0.02
강영식,2017,롯데,"30,000",-0.022
이원석,2017,삼성,"30,000",1.101
조동화,2017,SK,"30,000",
로맥,2017,SK,"30,000",1.773
채태인,2017,넥센,"30,000",1.666
정성훈,2017,LG,"30,000",1.269
이대형,2017,kt,"30,000",-0.863
정의윤,2017,SK,"30,000",1.325
허경민,2017,두산,"30,000",0.605
